{'txHash': 'f1a438265d31179ce577b59db06690d75dcf307eadad99713b031cc97e101e12', 'function': 'upload_footprint_model_file', 'fee': '321394400000000', 'gasUsed': 8478440, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 600, 'timestamp': 1718218898, 'sender': 'erd100swfm9cts2p3zsmsdrpkf4v06vwfhm7ru808s2mzkdgaatq9drqhhequu', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': 'b78bebeb738d34d23262c0cb99cdf6aa524caa1a5ffd48d612c69202a4f96d17', 'function': 'upload_candidate_model_file', 'fee': '321663290000000', 'gasUsed': 8505329, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 601, 'timestamp': 1718218898, 'sender': 'erd100swfm9cts2p3zsmsdrpkf4v06vwfhm7ru808s2mzkdgaatq9drqhhequu', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': '731c37dc241cd166c8f17c6c5491ca67fd5710395dc97ed8bbc110048beca64c', 'function': 'upload_footprint_model_file', 'fee': '322722230000000', 'gasUsed': 8611223, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 618, 'timestamp': 1718218904, 'sender': 'erd1twlfq8k9essv48c3zvc673qtjy7agcgnez0fveufqz8e6punl5tqsrwurk', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': '6b278e4608e0cc8ab1eefa3760e805cee0925e5b3c2fe501498548e5201f7612', 'function': 'upload_candidate_model_file', 'fee': '321663290000000', 'gasUsed': 8505329, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 619, 'timestamp': 1718218904, 'sender': 'erd1twlfq8k9essv48c3zvc673qtjy7agcgnez0fveufqz8e6punl5tqsrwurk', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': 'ebdbaa2da7ec679ad030dec89549a368ce186a8aeb8fe000cf026c0cc987d21e', 'function': 'upload_footprint_model_file', 'fee': '322355490000000', 'gasUsed': 8574549, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 598, 'timestamp': 1718218922, 'sender': 'erd107kyce4264dsg3tfgqx33pwp5ypawvrrw6q6f6e0lthcnsgqdvts7dk0nz', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': '5575284822501601f69c66157c35043528ecf2bc252a8be771f43334cca03b5b', 'function': 'upload_footprint_model_file', 'fee': '322722230000000', 'gasUsed': 8611223, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 598, 'timestamp': 1718218922, 'sender': 'erd1de3aqyzmht2hczspcge4u53jty6zyr7vqupxytpamf7pp7n4qa6qszsg4l', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': '0804d3449328f3cfdf02d5b7bed4597b8137256f406f7477f2d8c2b7bbc234e7', 'function': 'upload_footprint_model_file', 'fee': '322722230000000', 'gasUsed': 8611223, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 598, 'timestamp': 1718218922, 'sender': 'erd1cp9d553jtkckz567kwfkqhnpykxmuzr844lj64zrehfckgg2z27qrcxs4e', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': '96d2236ea2da7b09acf1c0277672a9708d9c186fe8f8a223b9f523e30fd855f2', 'function': 'upload_candidate_model_file', 'fee': '322722230000000', 'gasUsed': 8611223, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 599, 'timestamp': 1718218922, 'sender': 'erd1de3aqyzmht2hczspcge4u53jty6zyr7vqupxytpamf7pp7n4qa6qszsg4l', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': '0314dd89e5996c8791be8fa710c89bca5fa9ff51f58b2b14e86ee43c0e7d0b74', 'function': 'upload_candidate_model_file', 'fee': '322355490000000', 'gasUsed': 8574549, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 599, 'timestamp': 1718218922, 'sender': 'erd107kyce4264dsg3tfgqx33pwp5ypawvrrw6q6f6e0lthcnsgqdvts7dk0nz', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': 'fb568f21217762337de07bfb7e272ba4b862045e8943fce26d5731e2903ad57c', 'function': 'upload_candidate_model_file', 'fee': '322722230000000', 'gasUsed': 8611223, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 599, 'timestamp': 1718218922, 'sender': 'erd1cp9d553jtkckz567kwfkqhnpykxmuzr844lj64zrehfckgg2z27qrcxs4e', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
